object_0	object_1	answer	labels
Dell	Intel	Frankly, like a procession of formerly-consistently superior performing technology icons before it, including JDS Uniphase, Cognizant Technologies, Dell, Microsoft, and Intel, Cisco has been a total return has-been for quite some time.	0
mit	harvard	mit, harvard	0
Microsoft	Sony	It also didn't hurt my faith in Microsoft when Sony kept releasing a newer and uglier PS3 each time.	2
Ethernet	Bluetooth	You can probably find the Onkyo TX-NR717 for much cheaper but the Onkyo TX-NR727 is a better option in the long run because you won't have to worry about a lengthy Ethernet cable for home networking no matter how the living room is set up. $899 is a great launch price for this receiver considering the Wi-Fi and Bluetooth features as well as the THX certification.	0
Toyota	Ford	I liked the Toyota over the Ford and it looks better than the Chevy.	2
Perl	Java	- Perl has constructs that are magnitudes easier than Java will be, by design.	2
nixon	reagan	Obama is much worse than nixon, reagan, and W. Bush all rolled into one.	0
Advil	Motrin	OTC pain killers (Advil or Motrin will also be helpful).	0
Windows 7	Windows 8	"On Balance Microsoft Windows 7 is better than Windows 8""."	2
Python	Ruby	I'm just wondering if you guys think I would be better learning Python or Ruby.	0
Toyota	Ford	The Toyota Tundra gets worse fuel economy than the larger Ford F-150 or Dodge Ram.	3
plastic	cement	x Concrete tanks painted with marine epoxy or plastic-lined tanks are easier to clean and maintain than bare cement tanks.	2
cafe	restaurant	I've only eaten at the Red Sage cafe and not the much nicer full restaurant downstairs.	0
Perl	AWK	It's a lot easier to install everything then get emacs, gcc, gdb, Perl, utilitys such as grep and AWK, not to mention the servers it comes with like Apache and MySQL if you want to try something out quick.	0
PHP	Java	"PHP ""runs crappy code extremely fast"" so it is better for startups than other languages like Java."	2
Python	PHP	Unless you are working experienced Python web developers, PHP is easier to get started with.	3
pistol	knife	I found S.T.A.L.K.E.R to be pretty much Nintendo Hard to start with but as Anaphiel says it's only because you're trying to take on decent enemies who have armour & SMGs while you're toting only a pistol and a knife.	0
Windows 8	Windows XP	Modern hardware/ multicore systems perform much better on Windows 7 or Windows 8, instead of Windows XP.	2
Apple	Microsoft	closed Apple is better than Microsoft.	2
Microsoft	Dell	Those are all decent reasons for Microsoft to throw down a few billion on Dell.	0
itunes	amazon	Anyway, I'm wagering that because itunes, amazon, etc. have decent delivery mechanisms, UHD will be delivered digitally.	0
baseball	tennis	@tanasten Bowling is WAY better, baseball is WAY better, golf is WAY better, tennis is the same and boxing is the drizzlin' poopiedoodoocacapoopledoopledoggiepoopledoops!!!!!	0
Google	Microsoft	So in this respect Google is no better than Microsoft.	0
Honda	Nissan	Honda Fit or the Nissan Cube).	0
Pepsi	Coca-Cola	P.S.: I think Pepsi works better in flavored colas than Coke because Cokes trademark acidity (which I enjoy most in its old-relable regular Coca-Cola form) sometimes conflicts with the other flavors.	2
Windows Vista	Windows XP	The Samsung 830 Series Solid-State Drive is compatible with Microsoft Windows 7 (32-bit and 64-bit), Windows Vista, Windows XP, Mac OS X, and Linux systems.	0
Dell	Intel	It would be better to get a driver from Dell or Intel that doesn't have this problem.	0
PHP	JavaScript	Solid experience of PHP, HTML, XML, SQL and JavaScript.	0
volleyball	football	"As good as she was in volleyball, I thought she was even better in football,"" Huser said."	0
Lisp	Java	I'm a functional (Haskell, Lisp) programmer as well as being well versed in OO (C++ & Java mainly) and I've just started my first AJAX project and I've hopped from IDE TO ide including plain vim, Eclipse with ADT & WDT, Mozilla with Venkman debugger and (gasp horror) Visual Studio 2005 and I still find it harder than anything else I've done in terms of code-navigation and debugging	0
Ford	Toyota	Now, the results that they did post were much worse than what Ford and Toyota reported.	0
Microsoft	Intel	"The island has long been a bastion for Microsoft and Intel, making Google's job harder."""	0
USB	Ethernet	With solid-state recorders, investigators can extract stored data in a matter of minutes through USB or Ethernet ports.	0
Perl	PHP	For the back-end stuff Perl is way better than PHP.	2
Apple	Sony	Much better are WMA (Windows Media), AAC (used on Apple Ipod), and Atrac (used on Minidisc and Sony personal music players).	0
Ford	BMW	Here's my best shot: Remember how in high school, there were always the guys in wood shop or in the locker room who constantly talked about cars - the merits of turbo chargers vs. superchargers, Ford vs. Chevy, or, in better high schools, BMW vs. Mercedes?	0
Amazon	Google	It better be, as a number of tech companies are doing it, including Amazon and Google , reports CNBC.	0
NetBeans	Eclipse	I tried NetBeans, now trying Eclipse.	0
IBM	Hewlett-Packard	IBM and Hewlett-Packard Co. have invested in better ways to manage cooling systems.	0
Smalltalk	Java	Smalltalk (C++, C#, Java, Flavors, Common Loops, CLOS, Scheme, Dylan, Simula, Self)	0
espn	fox	espn has a worse agenda than fox news.	3
laptop	iphone	Way better than my laptop and iphone can put out.	0
Oracle	PostgreSQL	Most of the applications I see that use Oracle would work fine or better with an OSS database such as PostgreSQL or even SQLite.	3
laptop	mobile	(Some older desktop/laptop browser versions may also work better with the direct mobile Zimbra link.)	0
bus	truck	We offer superior value with free parking and outside outlets for your car, bus, truck or RV, and more.	0
Google	Microsoft	It wouldn't surprise me if Google has a better (faster, more secure, does what most people need) OS than Microsoft or Apple in a year or two.	2
Ford	BMW	It's pretty bad when a Ford has much better reliability than a BMW.	2
rifle	pistol	.223 rifle is better than pistol!	2
Chevrolet	Toyota	ACME, Mich. - General Motors Co., facing disappointing Chevrolet Volt sales, cut the starting price of the plug-in hybrid sedan by $5,000 to compete against the less- expensive and better-selling Toyota Prius and Nissan Leaf.	3
Honda	BMW	Yamaha and Honda dominate the top three, but BMW also have a solid footing in the top 10, with four models featured, including the S1000RR, with over 1,000 unit sales.	0
Windows 98	Windows XP	System requirements Windows 98/Windows 2000/Windows ME/Windows XP/Windows Vista 1.5 GHz processor 256 MB RAM 2 GB free space 4x DVD Drive DirectX 9.0c -compatiable 64 MB video card DirectX 8.0a-compatible sound card Multiplayer: 56 kbit/s or faster internet connection Input methods: Mouse, Keyboard	0
Honda	BMW	Honda cold probably legitimately build a better 3 than BMW easily.	2
Advil	Motrin	(e.g., ibuprofen, naproxen, Advil, Motrin, Alleve)	0
Eclipse	NetBeans	Eclipse: 637, NetBeans: 7	0
Ferrari	BMW	It's not a Ferrari or a BMW.	0
Buick	Cadillac	"I expect that it would be easier to take a low-end Korean brand known for unreliable cars that burn oil and turn it into ""better than Honda"" brand, than it would be really re-establish what Chevy, Buick, and Cadillac are supposed to mean."	0
