x	y
california [SEP] oregon [SEP] Slower population declines were also observed in parts of Northern california and the Central oregon Cascades.	0
Motorola [SEP] Nokia [SEP] Motorola was king before Nokia came in.	3
plywood [SEP] lumber [SEP] plywood doesn't need to breath like lumber so leaving raw will only make it rot faster.	0
Samsung [SEP] Toshiba [SEP] faster Samsung SSDs in some units and significantly slower Toshiba SSDs in others).	2
Ruby [SEP] JavaScript [SEP] @hguser it is not recommended in Ruby to use global variables, like you know its not recommended in JavaScript to avoid naming conflicts, find better way to handle your variables than declaring them global -  bjhaid Feb 23 '12 at 16:45	0
USB [SEP] Ethernet [SEP] THERE IS NO USB CONNECTION BUT I THINK THAT'S BECAUSE Ethernet MAY BE FASTER BUT THE OLDER MODEM HAD BOTH.	0
Perl [SEP] Python [SEP] With a script in Perl , Python , elisp, it's much easier to control.	0
virginia [SEP] california [SEP] I'll start in virginia and end in california but am happy to be flexible if anyone's got any better ideas ...	0
PHP [SEP] Perl [SEP] why do the harder languages to get up and running on the web (ruby and python) require the bindings while the easier languages (PHP and Perl) just shell out and so work easily?	0
Leica [SEP] Nikon [SEP] If Leica is ever to produce a non-rangefinder mirrorless full-frame interchangeable-lens camera with an electronic viewfinder, the mythical beast I have been waiting for ever since they discontinued the R line; or if Sony or Fuji or someone is to produce the first non-camcorder full-frame mirrorless; or if I am to toss in the towel and get an EOS; or, better yet, get a Nikon or a Sony and drop a lot of money on Leitax...	0
soup [SEP] sandwich [SEP] soup and a sandwich is far nicer than just a cold lunch.	0
pistol [SEP] knife [SEP] - QUICK MOVEMENT The speed of your player is based on the weight of your gun, so when the round starts, switching to the pistol or even better, your knife, will result in much faster movement.	3
Haskell [SEP] Java [SEP] or Ruby or Haskell, or C# or Java, or CLisp... it might be better to	0
Direct3D [SEP] OpenGL [SEP] Direct3D is now better than OpenGL Says John Carmack	2
Perl [SEP] Ruby [SEP] So guess what, I now know Perl a lot better than Ruby.	2
"Java [SEP] Lisp [SEP] Progammer Dvorak has the same letter layout as regular Dvorak (allowing for compatibility with other machines), but it changes the placement of punctuation in a way that ""makes it easier to write source code in C, C#, Java, Pascal, Lisp, CSS and XML."	0
Buick [SEP] Cadillac [SEP] And for the record: Superior Buick Cadillac of KC is an OUTSTANDING dealership.	0
Ford [SEP] Toyota [SEP] They were definately better than Ford and Toyota at styling cars in the 90's.	0
ps2 [SEP] ds [SEP] The ps2 games were miles better, though, and I'm sure the ds one I mentioned would be great, too.	2
basketball [SEP] baseball [SEP] 4. FSU is solid in basketball and baseball.	0
baseball [SEP] softball [SEP] Primo baseball/softball - Socks - Solid	0
basketball [SEP] baseball [SEP] Michael Jordan was a phenomenal basketball player and a lousy baseball player.	0
stanford [SEP] mit [SEP] Here's Why stanford Startups are Better Than mit Startups	2
virginia [SEP] michigan [SEP] West virginia and michigan have never met on the basketball court, so what better place to start than...Brooklyn?	0
Apple [SEP] Intel [SEP] Go ahead Apple, try and outsell Toshiba in japan when Toshiba has the same or better product with Intel inside.	0
reagan [SEP] kennedy [SEP] What if Ronald reagan had worn Ivy better than Jack kennedy?	2
Amazon [SEP] Sony [SEP] It's better than B&N (no file table access at all) or Amazon (hard reset every time to update filetable), but still not as simple as Sony.	0
Motorola [SEP] Samsung [SEP] Unless maybe you're HP, Motorola or Samsung.	0
skiing [SEP] fishing [SEP] From Superior skiing and Snowmobiling to Great Golfing, Hiking and fishing.	0
"tennis [SEP] baseball [SEP] Right now, I think tennis is easier than baseball."""	2
Renault [SEP] Nissan [SEP] I wonder if the Vettel association might have found a better outlet with the GT-R within the Renault-Nissan Alliance (a term that always puts me in mind of Star Trek realpolitik, like the Klingons and Romulans have joined forces).	0
Ruby [SEP] PHP [SEP] Apparently the Ruby people are more forward thinking, which makes sense given how much cooler it is than PHP :-)	2
USB [SEP] Ethernet [SEP] A separate application talks about using peripheral ports, such as USB, FireWire and Ethernet connections , as secondary vents to bring cooler air into the housing.	0
Nissan [SEP] Ford [SEP] Many of these Nissan LEAF (and Ford Focus Electric) owners would gladly have traded some vehicle size for meaningfully better range.	0
Google [SEP] Amazon [SEP] In addition, Google is in a better position than Amazon to reach the high-quality/low price sweet spot.	2
Motorola [SEP] Nokia [SEP] TI, Qualcomm, Motorola, Nokia, Palm, 9	0
Intel [SEP] Google [SEP] Major IT vendors including Intel, Apple, Google, AT&T and IBM posted better-than-expected first-quarter earnings, while the slowing U.S. economy managed to avoid an all-out recession.	0
wood [SEP] cement [SEP] wood Flour cement instructions	0
pen [SEP] paint [SEP] Our C series pen point attachments produce an even, consistent, solid stroke of wax paint.	0
Asus [SEP] Gigabyte [SEP] There are 5 manufacturers: MSI, Biostar, AsRock, Asus and Gigabyte.	0
Dell [SEP] Apple [SEP] That guy jsut wrote that article and waited for the lasrgest Dell coupon he could call Apple a worse deal.	0
Microsoft [SEP] Google [SEP] And yet Microsoft somehow comes off worse than Google for it...	3
california [SEP] carolina [SEP] Among the top performances included a superior effort by the loaded Southern california All Stars , and a nice showing by the North carolina Gaters .	0
Python [SEP] Java [SEP] much better/easier to do the interface in Python than in Java.	2
"Intel [SEP] Hewlett-Packard [SEP] The researchers are working with companies like Intel, AMD, IBM, Sun, Hewlett-Packard, and Nvidia."""	0
beer [SEP] champagne [SEP] You need a place to cry into your beer, or better yet your champagne.	3
"Adidas [SEP] Nike [SEP] Jeremy & Claire Weiss , this husband and wife duo better known as ""Day19"" make their living shooting commercial advertising campaigns for the likes of Adidas, Pepsi, Nike, Converse, & more."	0
oregon [SEP] california [SEP] In the New World, good success has been achieved in oregon and cooler areas of california.	0
soup [SEP] sandwich [SEP] But I daresay the soup went better with the beer than a grilled cheese sandwich...	2
fishing [SEP] swimming [SEP] Good fishing and swimming.	0
"tennis [SEP] basketball [SEP] The older I got, the harder it was to find friends to do tennis or basketball,"" Jason Smith said."	0
Windows XP [SEP] Windows 8 [SEP] Linux really is now at a point where it is an easier OS to transition to from Windows XP and 7 vs transitioning to Windows 8.	0
Chrysler [SEP] Ford [SEP] Greiner Chrysler Dodge RAM Jeep Ford	0
Python [SEP] Java [SEP] It is not really correct to ask why Python is slower than Java/C#.	3
california [SEP] michigan [SEP] This is as fast as, or faster than, most UPS deliveries from california to michigan.	0
Java [SEP] Haskell [SEP] I've done a lot of C programming, a decent amount of Java, a lot of Matlab, some D and a lot of Haskell, but never really had a chance to program in C++ oddly enough.	0
Direct3D [SEP] OpenGL [SEP] As it is, DirectX isn't going anywhere despite what anyone from Epic might say; Windows Direct3D support from drivers (for starters) is just better than the OpenGL support in a lot of cases, enough cases that it has to be supported or a game will just fall over on a lot of computers.	2
juice [SEP] tea [SEP] Solid appearance overall - looks like a bowl blackberry juice and tea with thick molasses added.	0
Java [SEP] Ruby [SEP] HTML, SQL, Java, Ruby, ...)	0
Sony [SEP] Google [SEP] Rather than pack in ever more pixels or flex its screens , Sony is rolling out a number of technical and design tweaks aimed to make their benchmark-setting UHD televisions even better this year-and that includes a brand spankin' new OS powered by Google.	0
juice [SEP] milk [SEP] The beetroot juice or milk sugar (diabetes worse.	0
Ford [SEP] Chrysler [SEP] Hummer, Ford, Lincoln, Statesman, Territory, Chrysler, Mercedes.	0
USB [SEP] Ethernet [SEP] But the Roku 3 has a faster processor, plus a USB port and an Ethernet jack for a wired network connection, which aren't available on the other models.	0
Java [SEP] Ruby [SEP] Assigning Java objects to Ruby objects	0
Bluetooth [SEP] USB [SEP] Its feature list is fairly generous too, throwing in Dolby Digital/DTS decoding, Bluetooth support, media playback via USB and a decent pool of sound modes.	0
Toshiba [SEP] Samsung [SEP] The Toshiba (348 ms), HP (408.9 ms) and Samsung (563.4 ms) all scored better.	0
Asus [SEP] Gigabyte [SEP] You may want to consider an Asus or Gigabyte board.	0
Chevrolet [SEP] Ford [SEP] Money is available, but authorization to use it is being withheld until Chevrolet does better in this little sales tussle with Ford.	2
Ford [SEP] Chrysler [SEP] Ford had Mazda, and Chrysler had Mitsubishi.	0
carolina [SEP] georgia [SEP] Amidst a game going poorly against carolina, fans blamed Jones for drafting Carter earlier than Quincy's pedigree at georgia dictated.	0
Dell [SEP] IBM [SEP] The Sun Fire X4470 server delivered better 4 socket x86 system performance on the SPECint_rate2006 benchmark compared to HP (DL585 G7), Cicso (UCS C460 M1), Dell (R815) and IBM (x3850 X5).	0
volleyball [SEP] tennis [SEP] volleyball or tennis?	0
Sony [SEP] Apple [SEP] Sony Xperia Tablet Z has a better processor, much better form factor, slightly larger display, better connectivity options, better compatibility, better performance, etc., as compared to Apple iPad.	2
Python [SEP] Ruby [SEP] Python and Ruby perform significantly better.	0
Google [SEP] Amazon [SEP] Why Google, Amazon, and some others don't like it is they either get slower service for the same cost or pay more for their current QOS.	0
USB [SEP] Bluetooth [SEP] For wider USB device support outside of drives and HDDs the Samsung's are decidedly less compatible than ASUS gear (their Bluetooth device support is also worse).	0
Intel [SEP] Google [SEP] But Intel doesn't want to just build a better Google TV.	0
mit [SEP] stanford [SEP] In a combined effort of some major intellectuals at NASA, mit and stanford comes the Robotic Hedgehogs meant for easier space exploration.	0
Lisp [SEP] Java [SEP] The discussion turned to having other people work on the project, and why I felt people who knew Lisp would be better to attract than people who knew, say, Java.	0
Scala [SEP] Java [SEP] Some Scala standard library classes are slower than their Java counterparts e.g.	3
Sony [SEP] Apple [SEP] I totally agree with your conclusion that Sony products are better off tham Apple products.	2
pizza [SEP] soup [SEP] A frozen pizza or canned soup would have been faster and easier to prepare.	0
