id,comp,question,clean,pos,lemma
24847,0,How can I improve English speaking skill?,how can i improve english speaking skill,"['WRB', 'MD', 'PRP', 'VB', 'JJ', 'VBG', 'NN']","['how', 'can', 'i', 'improve', 'english', 'speak', 'skill']"
39388,0,what does a circle mean in a chord,what does a circle mean in a chord,"['WP', 'VBZ', 'DT', 'NN', 'VB', 'IN', 'DT', 'NN']","['what', 'do', 'a', 'circle', 'mean', 'in', 'a', 'chord']"
40283,0,famous stars who have had prostate cancer,famous stars who have had prostate cancer,"['JJ', 'NNS', 'WP', 'VBP', 'VBN', 'NN', 'NN']","['famous', 'star', 'who', 'have', 'have', 'prostate', 'cancer']"
8800,0,'who said i''ve been rich and i''ve been poor rich is better',who said i ve been rich and i ve been poor rich is better,"['WP', 'VBD', 'PRP', 'VBP', 'VBN', 'JJ', 'CC', 'PRP', 'VBP', 'VBN', 'JJ', 'JJ', 'VBZ', 'JJR']","['who', 'say', 'i', 'have', 'be', 'rich', 'and', 'i', 'have', 'be', 'poor', 'rich', 'be', 'better']"
36824,0,till what year do vehicles in california need smog,till what year do vehicles in california need smog,"['IN', 'WDT', 'NN', 'VBP', 'NNS', 'IN', 'NNP', 'VBP', 'NN']","['till', 'what', 'year', 'do', 'vehicle', 'in', 'california', 'need', 'smog']"
24137,0,Did both Ramayana and Mahabharata truly happen?,did both ramayana and mahabharata truly happen,"['VBD', 'CC', 'JJ', 'CC', 'NNP', 'RB', 'VB']","['do', 'both', 'ramayana', 'and', 'mahabharata', 'truly', 'happen']"
30586,0,Where can I buy a queen size loft bed frame?,where can i buy a queen size loft bed frame,"['WRB', 'MD', 'PRP', 'VB', 'DT', 'NN', 'NN', 'NN', 'NN', 'NN']","['where', 'can', 'i', 'buy', 'a', 'queen', 'size', 'loft', 'bed', 'frame']"
36175,0,how do I know what storage I have used on my laptop,how do i know what storage i have used on my laptop,"['WRB', 'VBP', 'PRP', 'VB', 'WDT', 'NN', 'PRP', 'VBP', 'VBN', 'IN', 'PRP$', 'NN']","['how', 'do', 'i', 'know', 'what', 'storage', 'i', 'have', 'use', 'on', 'my', 'laptop']"
2290,0,when did the new ?Ã£5 note come into circulation,when did the new 5 note come into circulation,"['WRB', 'VBD', 'DT', 'JJ', 'CD', 'NN', 'VB', 'IN', 'NN']","['when', 'do', 'the', 'new', '5', 'note', 'come', 'into', 'circulation']"
28699,0,What are the various types of recursive algorithms?,what are the various types of recursive algorithms,"['WP', 'VBP', 'DT', 'JJ', 'NNS', 'IN', 'JJ', 'NNS']","['what', 'be', 'the', 'various', 'type', 'of', 'recursive', 'algorithm']"
13946,0,where is the left lower abdomen ?,where is the left lower abdomen,"['WRB', 'VBZ', 'DT', 'JJ', 'JJR', 'NN']","['where', 'be', 'the', 'left', 'lower', 'abdomen']"
39575,0,what does an ach signal stand for in pinout diagrams?,what does an ach signal stand for in pinout diagrams,"['WP', 'VBZ', 'DT', 'NN', 'NN', 'VB', 'IN', 'IN', 'NN', 'NNS']","['what', 'do', 'a', 'ach', 'signal', 'stand', 'for', 'in', 'pinout', 'diagram']"
8769,0,where was the hymn abide with me written,where was the hymn abide with me written,"['WRB', 'VBD', 'DT', 'NN', 'VB', 'IN', 'PRP', 'VBN']","['where', 'be', 'the', 'hymn', 'abide', 'with', 'I', 'write']"
23113,1,What's the difference between a males anus and a females anus?,what s the difference between a males anus and a females anus,"['WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NNS', 'NN', 'CC', 'DT', 'NNS', 'NN']","['what', 'be', 'the', 'difference', 'between', 'a', 'male', 'anus', 'and', 'a', 'female', 'anus']"
29854,0,What is the right age to retire?,what is the right age to retire,"['WP', 'VBZ', 'DT', 'JJ', 'NN', 'TO', 'VB']","['what', 'be', 'the', 'right', 'age', 'to', 'retire']"
10371,0,when does anthony bourdain parts unknown season 11 start,when does anthony bourdain parts unknown season 11 start,"['WRB', 'VBZ', 'NNP', 'NN', 'NNS', 'JJ', 'NN', 'CD', 'NN']","['when', 'do', 'anthony', 'bourdain', 'part', 'unknown', 'season', '11', 'start']"
28947,0,What do you think of the name Râmella for a girl?,what do you think of the name r mella for a girl,"['WP', 'VBP', 'PRP', 'VB', 'IN', 'DT', 'NN', 'VBP', 'NN', 'IN', 'DT', 'NN']","['what', 'do', 'you', 'think', 'of', 'the', 'name', 'be', 'mella', 'for', 'a', 'girl']"
11170,0,why should solar power be used to support our global energy needs,why should solar power be used to support our global energy needs,"['WRB', 'MD', 'JJ', 'NN', 'VB', 'VBN', 'TO', 'VB', 'PRP$', 'JJ', 'NN', 'NNS']","['why', 'should', 'solar', 'power', 'be', 'use', 'to', 'support', 'we', 'global', 'energy', 'need']"
17385,0,how long does it take to get rid of a toe fungus,how long does it take to get rid of a toe fungus,"['WRB', 'RB', 'VBZ', 'PRP', 'VB', 'TO', 'VB', 'NN', 'IN', 'DT', 'NN', 'NN']","['how', 'long', 'do', 'it', 'take', 'to', 'get', 'rid', 'of', 'a', 'toe', 'fungus']"
