sentence_id,words,labels
1,what,O
1,is,O
1,the,O
1,best,PRED
1,use,OBJ
1,of,OBJ
1,a,OBJ
1,song,OBJ
1,during,OBJ
1,a,OBJ
1,movie,OBJ
1,or,OBJ
1,tv,OBJ
1,show,OBJ
1,scene,OBJ
2,python,ASP
2,template,ASP
2,engines,ASP
2,what,O
2,are,O
2,the,O
2,real,O
2,benifits,PRED
2,and,PRED
2,drawbacks,PRED
2,to,O
2,xml,OBJ
2,vs,O
2,custom,OBJ
2,syntax,OBJ
3,who,OBJ
3,is,O
3,the,O
3,most,PRED
3,likely,ASP
3,next,ASP
3,president,ASP
4,what,O
4,books,OBJ
4,should,O
4,you,O
4,read,O
4,to,O
4,improve,ASP
4,your,ASP
4,programming,ASP
4,skills,ASP
7,what,O
7,s,O
7,the,O
7,better,PRED
7,way,O
7,to,O
7,charge,ASP
7,for,ASP
7,a,ASP
7,cloud,ASP
7,platform,ASP
7,simple,OBJ
7,but,OBJ
7,more,OBJ
7,expensive,OBJ
7,or,O
7,complicated,OBJ
7,but,OBJ
7,cheaper,OBJ
7,for,O
7,most,O
12,what,O
12,is,O
12,the,O
12,main,PRED
12,function,OBJ
12,of,OBJ
12,the,OBJ
12,peripheral,OBJ
12,nervous,OBJ
12,system,OBJ
13,which,O
13,is,O
13,the,O
13,best,PRED
13,business,OBJ
13,below,OBJ
13,10,OBJ
13,lakhs,OBJ
14,what,O
14,marinades,OBJ
14,are,O
14,the,O
14,best,PRED
14,for,O
14,tenderizing,ASP
14,pork,ASP
14,chops,ASP
15,who,O
15,has,O
15,more,PRED
15,fans,ASP
15,manchester,OBJ
15,united,OBJ
15,or,O
15,city,OBJ
16,what,O
16,are,O
16,the,O
16,best,PRED
16,resources,OBJ
16,for,O
16,learning,ASP
16,spanish,ASP
16,and,O
16,how,O
16,can,O
16,i,O
16,become,ASP
16,a,ASP
16,competent,ASP
16,speaker,ASP
16,reader,ASP
16,and,ASP
16,writer,ASP
16,of,ASP
16,the,ASP
16,spanish,ASP
16,language,ASP
17,what,O
17,foods,OBJ
17,burn,ASP
17,calories,ASP
17,faster,PRED
17,to,O
17,blast,ASP
17,that,ASP
17,fat,ASP
19,what,O
19,are,O
19,the,O
19,most,PRED
19,unusual,ASP
19,and,ASP
19,innovative,ASP
19,punishments,OBJ
19,that,OBJ
19,you,OBJ
19,have,OBJ
19,heard,OBJ
19,experienced,OBJ
19,in,OBJ
19,school,OBJ
21,what,O
21,is,O
21,the,O
21,second,PRED
21,biggest,PRED
21,ship,OBJ
21,in,OBJ
21,the,OBJ
21,world,OBJ
23,what,O
23,is,O
23,the,O
23,best,PRED
23,way,OBJ
23,to,OBJ
23,say,OBJ
23,thank,OBJ
23,you,OBJ
24,what,O
24,is,O
24,the,O
24,difference,PRED
24,between,O
24,data,OBJ
24,analyticis,OBJ
24,and,O
24,data,OBJ
24,mining,OBJ
25,what,O
25,was,O
25,the,O
25,significance,OBJ
25,of,OBJ
25,the,OBJ
25,battle,OBJ
25,of,OBJ
25,somme,OBJ
25,and,O
25,how,O
25,did,O
25,this,O
25,battle,O
25,compare,PRED
25,and,PRED
25,contrast,PRED
25,to,O
25,the,O
25,battle,OBJ
25,of,OBJ
25,penang,OBJ
26,are,O
26,abraham,OBJ
26,and,O
26,brahma,OBJ
26,same,PRED
27,what,O
27,is,O
27,the,O
27,easiest,PRED
27,way,OBJ
27,to,OBJ
27,earn,OBJ
27,money,OBJ
27,from,OBJ
27,online,OBJ
28,do,O
28,employees,OBJ
28,at,OBJ
28,b,OBJ
28,g,OBJ
28,foods,OBJ
28,have,O
28,a,O
28,good,PRED
28,work,ASP
28,life,ASP
28,balance,ASP
28,does,O
28,this,O
28,differ,O
28,across,O
28,positions,O
28,and,O
28,departments,O
29,which,O
29,are,O
29,the,O
29,best,PRED
29,colleges,OBJ
29,in,OBJ
29,india,OBJ
29,for,OBJ
29,iit,OBJ
29,astronomy,OBJ
30,which,O
30,party,O
30,is,O
30,the,O
30,majority,PRED
30,party,OBJ
30,in,OBJ
30,the,OBJ
30,senate,OBJ
30,in,OBJ
30,nigeria,OBJ
32,what,O
32,are,O
32,the,O
32,easiest,PRED
32,things,OBJ
32,to,OBJ
32,do,OBJ
32,while,OBJ
32,being,OBJ
32,abroad,OBJ
32,to,O
32,make,ASP
32,money,ASP
35,who,O
35,is,O
35,currently,O
35,the,O
35,most,PRED
35,famous,ASP
35,person,OBJ
35,alive,OBJ
35,who,O
35,is,O
35,in,O
35,the,O
35,top,O
35,10,O
36,what,O
36,is,O
36,the,O
36,most,PRED
36,popular,ASP
36,food,OBJ
36,in,OBJ
36,romania,OBJ
39,what,O
39,are,O
39,the,O
39,best,PRED
39,books,OBJ
39,for,O
39,the,O
39,jee,ASP
39,mains,ASP
40,what,O
40,are,O
40,the,O
40,difference,PRED
40,between,O
40,spores,OBJ
40,and,O
40,gametes,OBJ
42,what,O
42,are,O
42,the,O
42,best,PRED
42,scenes,OBJ
42,in,OBJ
42,movie,OBJ
42,history,OBJ
45,do,O
45,you,O
45,think,O
45,that,O
45,it,O
45,is,O
45,easier,PRED
45,to,O
45,learn,ASP
45,new,ASP
45,subjects,ASP
45,by,OBJ
45,yourself,OBJ
45,or,O
45,do,O
45,you,O
45,think,O
45,it,O
45,is,O
45,better,PRED
45,to,O
45,have,OBJ
45,a,OBJ
45,teacher,OBJ
46,what,O
46,sea,OBJ
46,creature,OBJ
46,has,O
46,the,O
46,largest,PRED
46,brain,ASP
46,octopus,OBJ
50,what,O
50,s,O
50,the,O
50,difference,PRED
50,between,O
50,fimo,OBJ
50,clay,OBJ
50,and,O
50,polymer,OBJ
50,clay,OBJ
51,apprenticeship,OBJ
51,vs,O
51,imitation,OBJ
51,learning,OBJ
51,what,O
51,is,O
51,the,O
51,difference,PRED
52,what,O
52,are,O
52,the,O
52,best,PRED
52,small,OBJ
52,classes,OBJ
52,for,OBJ
52,freshmen,OBJ
52,at,OBJ
52,western,OBJ
52,illinois,OBJ
52,university,OBJ
54,who,O
54,became,O
54,the,O
54,first,PRED
54,high,OBJ
54,priest,OBJ
54,of,OBJ
54,israel,OBJ
55,what,O
55,is,O
55,the,O
55,best,PRED
55,programming,OBJ
55,language,OBJ
55,ever,O
55,and,O
55,why,O
56,is,O
56,it,O
56,better,PRED
56,to,O
56,load,OBJ
56,up,OBJ
56,a,OBJ
56,class,OBJ
56,with,OBJ
56,methods,OBJ
56,or,O
56,extend,OBJ
56,member,OBJ
56,functionality,OBJ
56,in,OBJ
56,a,OBJ
56,local,OBJ
56,subclass,OBJ
57,what,O
57,are,O
57,the,O
57,most,PRED
57,common,ASP
57,jobs,OBJ
57,in,OBJ
57,indiana,OBJ
58,how,O
58,much,O
58,urjit,OBJ
58,patel,OBJ
58,suits,ASP
58,to,ASP
58,rbi,ASP
58,as,O
58,a,O
58,governor,O
58,compare,PRED
58,with,O
58,raghuram,OBJ
58,rajan,OBJ
58,sir,O
60,what,O
60,was,O
60,the,O
60,main,PRED
60,purpose,OBJ
60,of,OBJ
60,the,OBJ
60,house,OBJ
60,committee,OBJ
60,on,OBJ
60,un,OBJ
60,american,OBJ
60,activities,OBJ
60,huac,OBJ
62,which,O
62,place,O
62,is,O
62,best,PRED
62,to,O
62,work,ASP
62,mumbai,OBJ
62,or,O
62,delhi,OBJ
63,what,O
63,are,O
63,the,O
63,best,PRED
63,strategies,OBJ
63,for,O
63,preparing,ASP
63,for,ASP
63,the,ASP
63,gmat,ASP
64,what,O
64,is,O
64,the,O
64,difference,PRED
64,between,O
64,air,OBJ
64,brakes,OBJ
64,and,O
64,hydraulic,OBJ
64,brakes,OBJ
65,what,O
65,is,O
65,gate,OBJ
65,how,O
